Job Title,skills
Data Scientist,"python, machine learning, statistics, sql, data visualization, pandas, numpy, scikit-learn"
Software Engineer,"python, java, c++, javascript, git, problem solving, agile, sql"
Web Developer,"html, css, javascript, react, node.js, git, mongodb"
HR Manager,"communication, leadership, time management, problem solving, project management"
Product Manager,"agile, scrum, project management, leadership, communication, problem solving, data analysis"
Marketing Specialist,"communication, data analysis, html, css, data visualization, time management"
Financial Analyst,"sql, pandas, numpy, statistics, data analysis, problem solving, communication"
Cybersecurity Analyst,"python, sql, problem solving, communication, time management, linux, networking"
Cloud Engineer,"aws, azure, gcp, docker, kubernetes, python, linux, problem solving"
UI/UX Designer,"html, css, javascript, communication, data visualization, problem solving, figma, sketch"
DevOps Engineer,"aws, docker, kubernetes, jenkins, git, gitlab, python, linux, agile"
Data Analyst,"sql, python, data visualization, statistics, pandas, communication, problem solving"
